ipv4 address,network portion,host portion,class
117.10.20.30,117,10.20.30,A
118.10.20.30,118,10.20.30,A
119.10.20.30,119,10.20.30,A
120.10.20.30,120,10.20.30,A
121.10.20.30,121,10.20.30,A
122.10.20.30,122,10.20.30,A
123.10.20.30,123,10.20.30,A
124.10.20.30,124,10.20.30,A
125.10.20.30,125,10.20.30,A
126.10.20.30,126,10.20.30,A
128.10.20.30,128.1,20.3,B
129.10.20.30,129.1,20.3,B
130.10.20.30,130.1,20.3,B
131.10.20.30,131.1,20.3,B
132.10.20.30,132.1,20.3,B
133.10.20.30,133.1,20.3,B
134.10.20.30,134.1,20.3,B
135.10.20.30,135.1,20.3,B
136.10.20.30,136.1,20.3,B
137.10.20.30,137.1,20.3,B
138.10.20.30,138.1,20.3,B
139.10.20.30,139.1,20.3,B
140.10.20.30,140.1,20.3,B
141.10.20.30,141.1,20.3,B
142.10.20.30,142.1,20.3,B
143.10.20.30,143.1,20.3,B
144.10.20.30,144.1,20.3,B
145.10.20.30,145.1,20.3,B
146.10.20.30,146.1,20.3,B
147.10.20.30,147.1,20.3,B
148.10.20.30,148.1,20.3,B
149.10.20.30,149.1,20.3,B
150.10.20.30,150.1,20.3,B
151.10.20.30,151.1,20.3,B
152.10.20.30,152.1,20.3,B
153.10.20.30,153.1,20.3,B
154.10.20.30,154.1,20.3,B
155.10.20.30,155.1,20.3,B
156.10.20.30,156.1,20.3,B
157.10.20.30,157.1,20.3,B
158.10.20.30,158.1,20.3,B
159.10.20.30,159.1,20.3,B
160.10.20.30,160.1,20.3,B
161.10.20.30,161.1,20.3,B
162.10.20.30,162.1,20.3,B
163.10.20.30,163.1,20.3,B
164.10.20.30,164.1,20.3,B
165.10.20.30,165.1,20.3,B
166.10.20.30,166.1,20.3,B
167.10.20.30,167.1,20.3,B
168.10.20.30,168.1,20.3,B
169.10.20.30,169.1,20.3,B
170.10.20.30,170.1,20.3,B
171.10.20.30,171.1,20.3,B
172.10.20.30,172.1,20.3,B
173.10.20.30,173.1,20.3,B
174.10.20.30,174.1,20.3,B
175.10.20.30,175.1,20.3,B
176.10.20.30,176.1,20.3,B
177.10.20.30,177.1,20.3,B
178.10.20.30,178.1,20.3,B
179.10.20.30,179.1,20.3,B
180.10.20.30,180.1,20.3,B
181.10.20.30,181.1,20.3,B
182.10.20.30,182.1,20.3,B
183.10.20.30,183.1,20.3,B
184.10.20.30,184.1,20.3,B
185.10.20.30,185.1,20.3,B
186.10.20.30,186.1,20.3,B
187.10.20.30,187.1,20.3,B
188.10.20.30,188.1,20.3,B
189.10.20.30,189.1,20.3,B
190.10.20.30,190.1,20.3,B
191.10.20.30,191.1,20.3,B
192.10.20.30,192.10.20,30,C
193.10.20.30,193.10.20,30,C
194.10.20.30,194.10.20,30,C
195.10.20.30,195.10.20,30,C
196.10.20.30,196.10.20,30,C
197.10.20.30,197.10.20,30,C
198.10.20.30,198.10.20,30,C
199.10.20.30,199.10.20,30,C
200.10.20.30,200.10.20,30,C
201.10.20.30,201.10.20,30,C
202.10.20.30,202.10.20,30,C
203.10.20.30,203.10.20,30,C
204.10.20.30,204.10.20,30,C
205.10.20.30,205.10.20,30,C
206.10.20.30,206.10.20,30,C
207.10.20.30,207.10.20,30,C
208.10.20.30,208.10.20,30,C
209.10.20.30,209.10.20,30,C
210.10.20.30,210.10.20,30,C
211.10.20.30,211.10.20,30,C
212.10.20.30,212.10.20,30,C
213.10.20.30,213.10.20,30,C
214.10.20.30,214.10.20,30,C
215.10.20.30,215.10.20,30,C
216.10.20.30,216.10.20,30,C
217.10.20.30,217.10.20,30,C
218.10.20.30,218.10.20,30,C
219.10.20.30,219.10.20,30,C
220.10.20.30,220.10.20,30,C
221.10.20.30,221.10.20,30,C
222.10.20.30,222.10.20,30,C
223.10.20.30,223.10.20,30,C
