ipv4 address,network portion,host portion,class
219.43.86.129,219.43.86,129,C
143.229.15.64,143.229,15.64,B
201.156.110.191,201.156.110,191,C
150.226.191.254,150.226,191.254,B
96.111.198.215,96,111.198.215,A
67.235.153.55,67,235.153.55,A
151.200.196.250,151.200,196.250,B
213.4.46.13,213.4.46,13,C
170.173.197.65,170.173,197.65,B
64.2.183.165,64,2.183.165,A
109.212.93.160,109,212.93.160,A
62.42.217.214,62,42.217.214,A
111.58.182.231,111,58.182.231,A
39.23.84.254,39,23.84.254,A
181.253.172.217,181.253,172.217,B
196.247.24.81,196.247.24,81,C
141.166.44.211,141.166,44.211,B
54.11.132.200,54,11.132.200,A
144.57.166.200,144.57,166.200,B
123.183.187.124,123,183.187.124,A
173.160.248.220,173.160,248.220,B
183.92.153.226,183.92,153.226,B
192.253.84.13,192.253.84,13,C
194.189.180.106,194.189.180,106,C
195.165.102.245,195.165.102,245,C
191.115.147.173,191.115,147.173,B
157.245.179.196,157.245,179.196,B
151.78.162.99,151.78,162.99,B
118.246.243.205,118,246.243.205,A
193.50.60.126,193.50.60,126,C
169.41.44.227,169.41,44.227,B
199.151.223.161,199.151.223,161,C
198.165.84.30,198.165.84,30,C
129.90.215.121,129.90,215.121,B
19.123.117.240,19,123.117.240,A
192.14.54.245,192.14.54,245,C
217.104.11.61,217.104.11,61,C
162.228.220.167,162.228,220.167,B
114.98.122.40,114,98.122.40,A
147.114.39.251,147.114,39.251,B
202.142.160.153,202.142.160,153,C
88.30.178.132,88,30.178.132,A
200.58.137.197,200.58.137,197,C
223.28.246.147,223.28.246,147,C
45.94.148.61,45,94.148.61,A
173.198.96.196,173.198,96.196,B
213.34.25.203,213.34.25,203,C
195.59.81.180,195.59.81,180,C
60.87.77.209,60,87.77.209,A
52.38.102.158,52,38.102.158,A
97.129.249.151,97,129.249.151,A
199.113.207.104,199.113.207,104,C
119.170.138.231,119,170.138.231,A
117.140.15.194,117,140.15.194,A
204.113.16.21,204.113.16,21,C
216.186.70.111,216.186.70,111,C
15.75.249.186,15,75.249.186,A
210.140.85.162,210.140.85,162,C
151.102.105.240,151.102,105.240,B
116.121.251.231,116,121.251.231,A
222.148.67.172,222.148.67,172,C
190.59.202.80,190.59,202.80,B
192.171.31.184,192.171.31,184,C
196.65.152.203,196.65.152,203,C
211.22.236.43,211.22.236,43,C
175.107.52.87,175.107,52.87,B
169.31.113.28,169.31,113.28,B
24.222.122.156,24,222.122.156,A
174.224.192.65,174.224,192.65,B
103.118.134.168,103,118.134.168,A
198.166.34.108,198.166.34,108,C
121.102.159.217,121,102.159.217,A
172.232.91.89,172.232,91.89,B
200.137.216.103,200.137.216,103,C
103.32.53.116,103,32.53.116,A
24.50.97.4,24,50.97.4,A
11.111.118.153,11,111.118.153,A
154.47.49.184,154.47,49.184,B
217.81.143.100,217.81.143,100,C
63.135.130.9,63,135.130.9,A
85.81.41.211,85,81.41.211,A
218.63.246.138,218.63.246,138,C
190.218.103.172,190.218,103.172,B
165.31.76.191,165.31,76.191,B
93.202.227.194,93,202.227.194,A
197.172.114.34,197.172.114,34,C
186.34.94.41,186.34,94.41,B
140.246.243.204,140.246,243.204,B
2.150.117.251,2,150.117.251,A
192.238.39.5,192.238.39,5,C
100.53.81.220,100,53.81.220,A
136.49.71.34,136.49,71.34,B
89.101.169.103,89,101.169.103,A
94.159.118.241,94,159.118.241,A
218.30.134.142,218.30.134,142,C
213.86.2.154,213.86.2,154,C
15.20.69.151,15,20.69.151,A
155.153.160.165,155.153,160.165,B
19.31.75.133,19,31.75.133,A
181.203.176.24,181.203,176.24,B
101.98.17.96,101,98.17.96,A
211.140.22.191,211.140.22,191,C
